"","year","firm","id","xi1","xi3","xi1_lag","xi3_lag","up1","down1","stay1","pat_app","lpat_app"
"175","1998","HYUNDAI",8,0.378975604192191,0.38057621816955,0.727995171988082,0.706902531113146,0,1,0,31,3.46573590279973
"176","1999","HYUNDAI",8,0.60023124504367,0.646144563679537,0.378975604192191,0.38057621816955,1,0,0,99,4.60517018598809
"177","2000","HYUNDAI",8,0.519584933435331,0.647007754863557,0.60023124504367,0.646144563679537,0,0,1,191,5.25749537202778
"178","2001","HYUNDAI",8,0.705281004601203,0.82417533891929,0.519584933435331,0.647007754863557,1,0,0,118,4.77912349311153
"179","2002","HYUNDAI",8,0.634309528751821,0.73731535970916,0.705281004601203,0.82417533891929,0,0,1,190,5.25227342804663
"180","2003","HYUNDAI",8,0.617489837298312,0.709180364643896,0.634309528751821,0.73731535970916,0,0,1,144,4.97673374242057
"181","2004","HYUNDAI",8,0.741609286545913,0.830394722987263,0.617489837298312,0.709180364643896,1,0,0,29,3.40119738166216
"182","2005","HYUNDAI",8,0.773987861248959,0.856299297903932,0.741609286545913,0.830394722987263,0,0,1,9.4399995803833,2.34564454226132
"183","2006","HYUNDAI",8,0.824886885232198,0.890266642924463,0.773987861248959,0.856299297903932,0,0,1,0,0
"184","1983","NISSAN",9,0.364308614019838,0.299888125887874,0.438716915769181,0.349622172981379,0,0,1,384.679992675781,5.95500799110696
"185","1984","NISSAN",9,0.46175275893623,0.36711636275373,0.364308614019838,0.299888125887874,0,0,1,368.160003662109,5.91123016431749
"186","1985","NISSAN",9,0.485451896971332,0.370537034278059,0.46175275893623,0.36711636275373,0,0,1,258,5.55682806169954
"187","1986","NISSAN",9,0.268483145045454,0.188348980556221,0.485451896971332,0.370537034278059,0,1,0,259,5.56068163101553
"188","1987","NISSAN",9,0.224169254246617,0.143764825417937,0.268483145045454,0.188348980556221,0,0,1,219,5.39362754635236
"189","1988","NISSAN",9,0.0647711678491453,0.013407618270039,0.224169254246617,0.143764825417937,0,1,0,342,5.83773044716594
"190","1989","NISSAN",9,-0.0401050024909617,-0.0355989800981754,0.0647711678491453,0.013407618270039,0,1,0,366,5.90536184805457
"191","1990","NISSAN",9,0.528436899818332,0.382484303284117,-0.0401050024909617,-0.0355989800981754,1,0,0,333,5.8111409929767
"192","1991","NISSAN",9,0.17832338909106,0.122363571239554,0.528436899818332,0.382484303284117,0,1,0,302,5.71373280550937
"193","1992","NISSAN",9,0.199001050312164,0.137122265976588,0.17832338909106,0.122363571239554,0,0,1,185,5.2257466737132
